Wavenumber (cm^-1),0M,0.6M,0.8M,1M,1.2M,1.4M,1.8M
400.1635,0.028825647,0.087811229,0.124321548,0.183928453,0.194633754,0.284565525,0.258746685
400.6456,0.031310424,0.076016677,0.101274344,0.172409422,0.185123069,0.274498916,0.253107582
401.1277,0.031423387,0.063644627,0.080879156,0.160108654,0.174337018,0.259982317,0.245653937
401.6098,0.029137527,0.052290038,0.064153863,0.146944674,0.164417731,0.244038213,0.235846292
402.0919,0.025320253,0.043404934,0.051622677,0.133371922,0.156894055,0.229705584,0.224121593
402.5741,0.021407133,0.038031088,0.043414596,0.120421412,0.152389455,0.219301555,0.211854971
403.0562,0.018864377,0.036630574,0.039303974,0.109477669,0.150642307,0.213929978,0.2009225
403.5383,0.018722142,0.039106763,0.038803275,0.101892242,0.150853627,0.213298105,0.193082584
404.0204,0.021404245,0.045003331,0.041359616,0.098670849,0.152228598,0.21602211,0.189509086
404.5026,0.02683835,0.053749231,0.04658505,0.100294848,0.154412843,0.220277634,0.190633714
404.9847,0.034658066,0.064785347,0.054383464,0.10670682,0.157582585,0.224548472,0.196258131
405.4668,0.044284524,0.077488534,0.064883823,0.117305957,0.162154112,0.228048522,0.205737212
405.9489,0.054830233,0.090978239,0.078192072,0.130952486,0.168343386,0.230656728,0.218093059
406.4311,0.064970679,0.103993978,0.094119865,0.145996425,0.175833423,0.2324907,0.232036977
406.9132,0.072958998,0.114976325,0.111982627,0.160433022,0.183718097,0.233476434,0.245974393
407.3953,0.076933295,0.122382308,0.130550984,0.172216632,0.190702135,0.233158676,0.25807833
407.8774,0.075474284,0.125125952,0.148140069,0.179697363,0.195479715,0.230898787,0.266501836
408.3596,0.068236999,0.122956391,0.162827465,0.182054965,0.197146491,0.226297773,0.269747898
408.8417,0.056340539,0.116621606,0.172808526,0.179582162,0.19553191,0.219703093,0.26715544
409.3238,0.042277933,0.107716008,0.176880111,0.173641717,0.191325768,0.21246888,0.259310514
409.8059,0.02925118,0.098211598,0.174912335,0.166253054,0.185916235,0.206771951,0.24810547
410.2881,0.020134728,0.089792117,0.168004386,0.159368176,0.180917658,0.204908506,0.236242736
410.7702,0.016471487,0.083268456,0.158107627,0.154163207,0.177558263,0.208357354,0.226324407
411.2523,0.017964695,0.078370972,0.147273959,0.150694107,0.176228976,0.217059146,0.220008936
411.7344,0.022701958,0.074072347,0.137014746,0.148138705,0.1764252,0.229314436,0.217668548
412.2166,0.027987485,0.069234033,0.128115006,0.145435965,0.177058969,0.242287258,0.218603899
412.6987,0.031393418,0.06324465,0.120836396,0.141972889,0.176935213,0.252930247,0.221564827
413.1808,0.031611614,0.056354645,0.115272565,0.137956113,0.175158047,0.258970082,0.225252913
413.6629,0.028806492,0.049618363,0.111574308,0.134370653,0.17137919,0.259659693,0.228666354
414.1451,0.024370024,0.044504939,0.10999,0.132549082,0.165849341,0.255951882,0.231225125
414.6272,0.02019845,0.042305991,0.110712664,0.13355308,0.159279341,0.249971681,0.232729889
415.1093,0.017822652,0.043564808,0.113665396,0.137590164,0.152551394,0.243980801,0.233192791
415.5914,0.017779789,0.047754812,0.118374557,0.143769969,0.14640233,0.239406306,0.232648929
416.0735,0.019497048,0.05337498,0.124044274,0.150334728,0.141226566,0.236370026,0.231027346
416.5557,0.021659141,0.058417614,0.129777819,0.155282595,0.13706632,0.233882332,0.228138342
417.0378,0.022829566,0.060997915,0.134818021,0.157060698,0.133745833,0.230454999,0.223738683
417.5199,0.022021776,0.059896592,0.138667547,0.155027456,0.131021227,0.224819527,0.217616783
418.0021,0.019031166,0.05486479,0.141068278,0.149522735,0.12867745,0.216448703,0.209676586
418.4842,0.014454179,0.046637913,0.141876805,0.14161224,0.126548513,0.205736762,0.200005554
418.9663,0.009443068,0.036707599,0.140951153,0.132666555,0.124496923,0.19379735,0.188970554
419.4484,0.005289167,0.026919615,0.138117041,0.123953791,0.122397087,0.182011305,0.177292872
419.9305,0.002990014,0.019025057,0.13327759,0.116367252,0.120167421,0.171515166,0.166064721
420.4127,0.002947144,0.014317047,0.126614068,0.110357625,0.117846364,0.162884731,0.156640491
420.8948,0.004893153,0.01344445,0.118746188,0.106040964,0.115664653,0.156106614,0.15041365
421.3769,0.008041691,0.016405508,0.110717505,0.103380435,0.114052507,0.150822927,0.14851939
421.8591,0.011386618,0.022655999,0.103785174,0.102320737,0.113544035,0.146655582,0.151546897
422.3412,0.014019847,0.031249581,0.099099331,0.10281685,0.114614899,0.14344088,0.159314674
422.8233,0.015377983,0.040975739,0.097397961,0.104765078,0.117505606,0.14124507,0.170754577
423.3054,0.015353128,0.050512,0.09881324,0.107932931,0.122105631,0.140228631,0.183981037
423.7876,0.014263321,0.058613034,0.102821417,0.111933906,0.127937053,0.140434535,0.196608695
424.2697,0.012707192,0.064336841,0.108353044,0.116299471,0.134252856,0.141666437,0.206345307
424.7518,0.011359304,0.067248412,0.114034944,0.120586845,0.140211484,0.143484413,0.211674842
