Molarity (mol/L),Mole % LiPF6,Mole % EC,Mole % EMC
0,0,0.541736053,0.458263947
0.6,0.047087399,0.516227112,0.43668549
0.8,0.061812994,0.508249726,0.42993728
1,0.076090398,0.500515141,0.42339446
1.2,0.089939768,0.493012439,0.417047794
1.4,0.103380066,0.485731344,0.41088859
1.8,0.129103866,0.471795835,0.3991003
