Molarity (mol/L),Mole % LiPF6,Mole % EC,Mole % EMC
0,0,0.825437101,0.174562899
0.6,0.041617931,0.791084117,0.167297952
0.8,0.054731307,0.78025985,0.165008843
1,0.06749067,0.769727798,0.162781532
1.2,0.079910166,0.759476285,0.160613549
1.4,0.092003195,0.74949425,0.158502554
1.8,0.115260025,0.7302972,0.154442775
