Molarity (mol/L),Mole % LiPF6,Mole % EC,Mole % EMC
0,0,0,1
0.6,0.058954562,0,0.941045438
0.8,0.077091125,0,0.922908875
1,0.094541822,0,0.905458178
1.2,0.111344837,0,0.888655163
1.4,0.127535572,0,0.872464428
1.8,0.158209358,0,0.841790642
