Wavenumber (cm^-1),0M,0.6M,0.8M,1M,1.2M,1.4M,1.8M
400.1635,0.043900841,0.063278564,0.099383782,0.169694206,0.169225008,0.228926422,0.297219707
400.6456,0.034292191,0.049343506,0.084913704,0.15924575,0.159116456,0.208143364,0.29464384
401.1277,0.022835844,0.034552047,0.068925758,0.148116369,0.147497339,0.185109925,0.284951225
401.6098,0.010157736,0.019479991,0.053806762,0.136729216,0.136237448,0.162428552,0.269727696
402.0919,-0.002894712,0.004442951,0.042091056,0.126303187,0.127643626,0.142381275,0.252309022
402.5741,-0.01517375,-0.010201407,0.035891669,0.118502907,0.12396664,0.126436818,0.236685497
403.0562,-0.025341235,-0.023742286,0.036369572,0.114846266,0.126687655,0.114987732,0.226098586
403.5383,-0.032126795,-0.035004516,0.043421487,0.11613521,0.135913056,0.107435465,0.221994842
404.0204,-0.03460227,-0.042534327,0.05570872,0.122190641,0.150144941,0.102705631,0.223686405
404.5026,-0.032387993,-0.045012691,0.071055399,0.131948954,0.166547163,0.099929013,0.22880234
404.9847,-0.025744271,-0.04169762,0.087058674,0.143831754,0.181693378,0.098950558,0.234300054
405.4668,-0.015594553,-0.032748242,0.101675465,0.156144476,0.192542555,0.100300366,0.237677494
405.9489,-0.003464226,-0.019346803,0.113567242,0.16736061,0.197257881,0.104722676,0.23779722
406.4311,0.008711937,-0.003564136,0.122130179,0.176233652,0.195504537,0.112531173,0.234979328
406.9132,0.018935276,0.012040703,0.127277357,0.181809224,0.188139625,0.123147141,0.230410156
407.3953,0.025584836,0.025021802,0.129188112,0.183452886,0.176628233,0.134968816,0.225394957
407.8774,0.027813017,0.033675636,0.128158668,0.180961052,0.162586689,0.145631918,0.220856862
408.3596,0.025746684,0.037475534,0.124609823,0.174738939,0.147617441,0.152615316,0.217245086
408.8417,0.020427431,0.037160551,0.119189646,0.165947409,0.133345181,0.15414488,0.214680923
409.3238,0.013492193,0.034444125,0.112850171,0.15644654,0.121431496,0.150069389,0.213188156
409.8059,0.006674002,0.031421619,0.106754817,0.148427513,0.113392719,0.142223377,0.212821278
410.2881,0.001236082,0.029830109,0.101986433,0.143736996,0.110198722,0.133869115,0.213611191
410.7702,-0.002425227,0.030424595,0.099147042,0.143159383,0.111841174,0.128429593,0.215367296
411.2523,-0.004795221,0.032739935,0.098114683,0.146043948,0.117180021,0.128231554,0.217517641
411.7344,-0.006818727,0.035368357,0.098133439,0.150541726,0.124258719,0.133930169,0.219136642
412.2166,-0.009285028,0.036592842,0.098214807,0.154362284,0.130967249,0.144675258,0.219218475
412.6987,-0.012344132,0.035086562,0.09762129,0.155710679,0.135737015,0.15871512,0.217041777
413.1808,-0.015367529,0.030415045,0.096225535,0.153980955,0.137964218,0.174038151,0.212476466
413.6629,-0.01715773,0.023230626,0.094615632,0.149957027,0.138039413,0.188902064,0.206082554
414.1451,-0.016402627,0.015120244,0.093912518,0.145434913,0.137024274,0.202143339,0.198952111
414.6272,-0.012229455,0.008133223,0.095341651,0.142441106,0.136098133,0.213253927,0.192301291
415.1093,-0.004675718,0.004128032,0.099701627,0.142349879,0.136012726,0.222165587,0.186973571
415.5914,0.005145603,0.004176935,0.106936609,0.145297874,0.136783851,0.228866083,0.183084306
416.0735,0.01529229,0.00826139,0.116019235,0.150134623,0.137764328,0.23304365,0.180023075
416.5557,0.023565071,0.015319875,0.125159867,0.154908918,0.13801721,0.234005144,0.176783794
417.0378,0.028142017,0.023556815,0.132250383,0.157638834,0.136763618,0.23089209,0.172451492
417.5199,0.028032915,0.030869284,0.135366814,0.157037766,0.133679419,0.223110645,0.166582345
418.0021,0.023244808,0.035322335,0.133259717,0.152923531,0.128969847,0.210764347,0.159352273
418.4842,0.014689637,0.035644571,0.125709329,0.146204033,0.123250411,0.194900873,0.151436959
418.9663,0.003915432,0.031640384,0.113667036,0.138486569,0.11733888,0.177440158,0.143736432
419.4484,-0.007262129,0.024316066,0.099051322,0.131495126,0.112050295,0.16077297,0.137040163
419.9305,-0.017146312,0.015577885,0.084240492,0.126516594,0.108055489,0.147149706,0.131812814
420.4127,-0.024473281,0.007600486,0.07144619,0.124084393,0.105840097,0.138130093,0.128174148
420.8948,-0.02858529,0.002177396,0.062215172,0.123977492,0.105728058,0.134241499,0.126085786
421.3769,-0.029435557,0.000314947,0.057194041,0.125481027,0.107908242,0.134947113,0.125590093
421.8591,-0.027473681,0.002159392,0.056158195,0.127742522,0.11241597,0.138854756,0.126941408
422.3412,-0.023467743,0.007157118,0.058202011,0.13005497,0.119058351,0.14410457,0.130505626
422.8233,-0.018317649,0.014319837,0.062025267,0.13196675,0.127337624,0.148829773,0.1364863
423.3054,-0.012878358,0.022500115,0.066263906,0.133246392,0.136452503,0.15162489,0.144607125
423.7876,-0.007822824,0.03061002,0.069822232,0.133772621,0.145412741,0.15185668,0.153923998
424.2697,-0.003553593,0.037762262,0.072130545,0.133464363,0.153261038,0.149740832,0.162886044
424.7518,-0.0001979,0.043317077,0.073242931,0.132267338,0.159299132,0.146128304,0.169695505
425.2339,0.002337188,0.046875406,0.073733881,0.13020526,0.163215607,0.142137988,0.172882045
425.7161,0.004263002,0.048242155,0.074438066,0.127413529,0.165041552,0.138757229,0.171861793
426.1982,0.00580782,0.047409655,0.076122233,0.124134788,0.164978038,0.13655707,0.167192909
426.6803,0.007147527,0.044559976,0.079199354,0.120643853,0.16319318,0.135551668,0.160384768
427.1624,0.008370915,0.040067011,0.083552106,0.117146788,0.15972307,0.135234813,0.15335808
427.6446,0.009474773,0.034462235,0.088520385,0.113690284,0.154524401,0.134758968,0.147834212
428.1267,0.010378299,0.028360029,0.093063658,0.110145127,0.147650561,0.13323919,0.144887509
428.6088,0.010936675,0.022356985,0.096072215,0.106268228,0.139436457,0.130068386,0.144763126
429.0909,0.010963638,0.016936166,0.096730883,0.101832985,0.130571107,0.125147588,0.146927343
429.5731,0.010263707,0.012409455,0.094801158,0.096761246,0.12200771,0.118926265,0.150284544
430.0552,0.008694181,0.008904074,0.090712382,0.0912131,0.114744823,0.11226833,0.153489544
430.5373,0.006241716,0.006390009,0.085427382,0.085586967,0.109566313,0.106187165,0.155290761
431.0194,0.00309372,0.004738619,0.080149707,0.080438368,0.106841328,0.101575393,0.154836931
431.5016,-0.000348136,0.003788949,0.075991991,0.076332757,0.106440283,0.098983691,0.151877976
431.9837,-0.003531428,0.003416014,0.073708831,0.073698875,0.107806448,0.098518693,0.146798874
432.4658,-0.005896218,0.003575288,0.073562357,0.07271368,0.110152487,0.099858878,0.140478912
432.9479,-0.007041366,0.00431722,0.075335273,0.073269488,0.112723731,0.102403098,0.134040416
433.4301,-0.006853347,0.005745266,0.078445869,0.074990713,0.114992384,0.105459334,0.128545227
433.9122,-0.005538217,0.007943098,0.082121721,0.077314891,0.116710744,0.108448108,0.124747782
434.3943,-0.003558133,0.010882946,0.0855697,0.079584181,0.117807509,0.111015654,0.122929021
434.8764,-0.001491733,0.014346997,0.088085126,0.081138888,0.118215421,0.113043371,0.122836666
435.3586,0.000117567,0.017892818,0.089104667,0.081399978,0.117739956,0.114556659,0.12374291
435.8407,0.000874497,0.020879161,0.088214398,0.079941758,0.116050163,0.115600779,0.124610294
436.3228,0.000584127,0.022571587,0.085162676,0.076562875,0.11279163,0.116128337,0.124360871
436.8049,-0.000766019,0.022304513,0.079890223,0.071342821,0.1077725,0.115955236,0.122176505
437.287,-0.00304603,0.019667172,0.072586097,0.064671749,0.101125507,0.114779391,0.117747529
437.7692,-0.006012626,0.0146669,0.063736156,0.057243705,0.093381971,0.112284465,0.11137626
438.2513,-0.009318537,0.007795599,0.054122961,0.049983,0.085404723,0.108264637,0.103879072
438.7334,-0.01250387,-2.00E-05,0.044750639,0.043916332,0.078213353,0.102774686,0.096336559
439.2155,-0.015021351,-0.007607874,0.036674803,0.039984195,0.072732785,0.096203376,0.089768575
439.6977,-0.016310986,-0.013805007,0.03079158,0.03884546,0.069565553,0.089257192,0.084868849
440.1798,-0.015929738,-0.017716581,0.027649402,0.040722168,0.068853518,0.082823043,0.081890708
440.6619,-0.013678368,-0.01887666,0.027359247,0.045356458,0.070285394,0.077767683,0.080717689
441.144,-0.009672735,-0.017286194,0.02964412,0.052086842,0.073250807,0.074741662,0.081064501
441.6262,-0.004314992,-0.013339276,0.033991805,0.060025757,0.077068967,0.074055053,0.082686419
442.1083,0.001817426,-0.007690612,0.039835928,0.068259687,0.081192672,0.075628801,0.085477281
442.5904,0.008122208,-0.001131315,0.046673345,0.076005159,0.085299651,0.07901704,0.089402687
443.0725,0.014082435,0.005506982,0.054076767,0.08267439,0.089255515,0.083466016,0.094326698
443.5547,0.019317653,0.01143197,0.06161262,0.087868127,0.092986229,0.088022709,0.099838219
444.0368,0.023541746,0.015968678,0.068728921,0.091325383,0.096339781,0.091679959,0.10519361
444.5189,0.026495061,0.018644355,0.074687527,0.092886907,0.099007961,0.093559465,0.109420409
445.001,0.027886653,0.019267822,0.078604674,0.092487684,0.100545895,0.093086833,0.111569977
445.4832,0.027408415,0.017963498,0.079606518,0.090188559,0.100483085,0.090120946,0.111007061
445.9653,0.024831697,0.015154634,0.077082607,0.086218777,0.098491789,0.084991693,0.107632091
446.4474,0.020155165,0.011479944,0.070939352,0.08099628,0.094547421,0.078443146,0.101920701
446.9295,0.013735259,0.007662301,0.061756621,0.075096098,0.0890185,0.071477175,0.094779934
447.4117,0.006313581,0.004356958,0.05073762,0.06915432,0.082626235,0.065137777,0.087262755
447.8938,-0.001088331,0.002030642,0.039457346,0.063736908,0.07627832,0.060280231,0.080273611
448.3759,-0.007406289,0.000895408,0.029467909,0.059214872,0.070815233,0.057389344,0.074353057
448.858,-0.011781836,0.000935196,0.021939482,0.055707068,0.066784836,0.056503689,0.069639183
449.3401,-0.013733677,0.002004538,0.017439491,0.053137869,0.064336517,0.057294839,0.065988147
449.8223,-0.01319318,0.003939738,0.015918489,0.05136334,0.063267056,0.05923971,0.063182861
450.3044,-0.010424283,0.006613003,0.016861077,0.050318372,0.063188891,0.061843693,0.061107409
450.7865,-0.005904234,0.009901433,0.019517007,0.050081452,0.063720738,0.064773382,0.059796318
451.2686,-0.000227858,0.013597441,0.023136795,0.05083445,0.064610981,0.067885754,0.059348347
451.7508,0.005929564,0.017332652,0.027132175,0.052723178,0.0657368,0.07112817,0.059776341
452.2329,0.011820011,0.020583039,0.031139289,0.055707393,0.067003509,0.074403751,0.060897359
452.715,0.016642536,0.022779413,0.03498244,0.059463328,0.068211438,0.077471112,0.062334042
453.1971,0.019631174,0.023478433,0.038575468,0.063395518,0.068977088,0.079939691,0.06362885
453.6793,0.020199919,0.022511371,0.041816576,0.066744613,0.068762148,0.081349772,0.064414846
454.1614,0.018124852,0.020045819,0.044510201,0.068766477,0.067018813,0.081309895,0.064549241
454.6435,0.01365917,0.016512917,0.046334861,0.068906095,0.063386943,0.079613539,0.06413583
455.1256,0.00751561,0.012439085,0.04686359,0.06692552,0.057880121,0.076297116,0.063424031
455.6078,0.000663437,0.008238147,0.045646315,0.06292265,0.050943129,0.071596345,0.062604906
456.0899,-0.005998982,0.004052109,0.042319309,0.057233962,0.043332914,0.065828406,0.061613822
456.572,-0.011965002,-0.000282973,0.036734214,0.050265772,0.035861352,0.059252757,0.060041828
457.0541,-0.017279916,-0.005127609,0.029032526,0.042339932,0.029122555,0.051995976,0.057228896
457.5363,-0.02244705,-0.010815988,0.019659207,0.033646339,0.023343834,0.044085182,0.052535541
458.0184,-0.02811973,-0.017446697,0.009306147,0.024315101,0.018412456,0.035574219,0.045655453
458.5005,-0.034701658,-0.024769034,-0.001169414,0.014561083,0.014053129,0.026687611,0.036840026
458.9826,-0.042035986,-0.032208919,-0.010850063,0.004820977,0.01005234,0.017912404,0.026916003
459.4648,-0.049332854,-0.039012705,-0.01886275,-0.00420901,0.006433038,0.009965269,0.017105612
459.9469,-0.055379767,-0.044448258,-0.024506013,-0.011668687,0.003493983,0.003637965,0.008697473
460.429,-0.058963442,-0.047989128,-0.027367551,-0.016751166,0.00169347,-0.000437482,0.002696407
460.9111,-0.059318653,-0.049407449,-0.027388323,-0.01894869,0.001433423,-0.001996317,-0.000420956
461.3933,-0.056399048,-0.04875406,-0.024836484,-0.018226118,0.002855315,-0.001232786,-0.0007523
461.8754,-0.050864419,-0.046243503,-0.020193722,-0.015034649,0.00576243,0.001280731,0.001184426
462.3575,-0.043812996,-0.042144323,-0.014022491,-0.010184989,0.009686176,0.0047854,0.004721676
