Wavenumber (cm^-1),0M,0.6M,0.8M,1M,1.2M,1.4M,1.8M
680.2778,0.005174372,0.004590181,0.00683341,0.004806393,0.006271577,0.006607024,0.009246642
680.7599,0.004843114,0.004294048,0.006880527,0.004659034,0.005932984,0.006882774,0.0092436
681.2421,0.004692769,0.00428124,0.006972808,0.004750464,0.00571826,0.007226134,0.009351793
681.7242,0.004676297,0.00452046,0.007056257,0.00505541,0.005663863,0.00758068,0.009527026
682.2063,0.004706056,0.004934054,0.007080933,0.005492264,0.005762164,0.007887175,0.009712492
682.6885,0.00470201,0.005436031,0.007028692,0.00596618,0.005979955,0.008116253,0.00987554
683.1705,0.004634991,0.005968641,0.006927247,0.006412777,0.006283201,0.008288512,0.010029366
683.6527,0.004546165,0.006518998,0.00684681,0.006827261,0.006656534,0.0084732,0.010232022
684.1348,0.004536729,0.007116306,0.006879814,0.007264041,0.007108102,0.008763072,0.010562297
684.6169,0.004732625,0.007810794,0.007112712,0.007811812,0.007659601,0.009241764,0.011085664
685.0991,0.005236428,0.008644455,0.007596565,0.008547985,0.008324409,0.009949598,0.011821909
685.5812,0.006086409,0.009626788,0.008329845,0.0094985,0.009087922,0.010869962,0.012729163
686.0633,0.007236388,0.010721193,0.009251475,0.010612751,0.009896457,0.011931259,0.013708193
686.5454,0.008565667,0.01184805,0.010252609,0.011770031,0.010664636,0.013027051,0.014627531
687.0276,0.009909901,0.012899998,0.011195002,0.012810333,0.011295346,0.014041489,0.015356368
687.5096,0.011105955,0.013765451,0.01193974,0.013581195,0.011707854,0.014871932,0.01579956
687.9918,0.012033159,0.014353052,0.012376486,0.01398256,0.011860223,0.015442266,0.015922592
688.4739,0.01263794,0.014613373,0.012451935,0.013994967,0.01176196,0.015709699,0.015760055
688.9561,0.012938325,0.014552259,0.012189159,0.013682069,0.011470459,0.01566755,0.015409579
689.4382,0.013004996,0.014230452,0.01169103,0.013168715,0.011075167,0.01534638,0.015006507
689.9203,0.01293368,0.013752401,0.011123982,0.012604591,0.010676989,0.014815499,0.014690922
690.4025,0.012813915,0.013240817,0.010680313,0.012124584,0.010366609,0.014178198,0.01457097
690.8845,0.012709764,0.012807184,0.010528827,0.011819591,0.010210104,0.013559768,0.014693142
691.3667,0.012652861,0.01252367,0.010766396,0.011723018,0.010241097,0.013085502,0.015030163
691.8488,0.012649388,0.012406898,0.011388439,0.011815025,0.010459583,0.01285515,0.015490284
692.3309,0.012692068,0.01241986,0.012290265,0.012039184,0.010836512,0.0129198,0.01594757
692.813,0.012771357,0.012488855,0.013298597,0.01232411,0.011320621,0.013270164,0.016285525
693.2952,0.012878192,0.012533524,0.014228605,0.012605129,0.011850127,0.01384318,0.016437813
693.7773,0.013000674,0.01249582,0.014940535,0.012837717,0.012364709,0.014539833,0.016412288
694.2594,0.013113859,0.012356178,0.015378216,0.013003011,0.012816728,0.015249252,0.016286696
694.7416,0.013176359,0.012135394,0.01557279,0.013105168,0.013180858,0.015873057,0.016181541
695.2236,0.013133539,0.011880088,0.015613534,0.013164283,0.013456397,0.016340212,0.016216997
695.7058,0.012932558,0.011641957,0.015597842,0.013205962,0.013661859,0.016613208,0.016471945
696.1879,0.012543489,0.011460626,0.015586488,0.013254516,0.013826511,0.016690703,0.016961553
696.67,0.011980018,0.011358226,0.01558167,0.013328792,0.013977591,0.016608076,0.017639473
697.1522,0.011308505,0.011347141,0.015538225,0.013445535,0.014136342,0.01643969,0.018422884
697.6343,0.010639978,0.011442104,0.015399584,0.01362364,0.014316404,0.016297178,0.019225742
698.1165,0.010107079,0.011670807,0.015142275,0.013890623,0.014531817,0.016318913,0.019990235
698.5985,0.009831285,0.012071861,0.014804746,0.014284129,0.014805227,0.016647525,0.020700722
699.0807,0.009892327,0.012681009,0.014487356,0.014847793,0.015170309,0.017393492,0.021378498
699.5627,0.01030821,0.013510142,0.014321121,0.015618273,0.015664724,0.018596519,0.022063799
700.0449,0.011035034,0.014532669,0.014422308,0.016611725,0.016314743,0.020200984,0.022796064
700.527,0.011983554,0.015682232,0.014848584,0.017810001,0.017116187,0.022056305,0.023600232
701.0092,0.01304775,0.016869965,0.015581231,0.019156961,0.018024238,0.023949971,0.02448567
701.4913,0.014134274,0.018015514,0.016535526,0.020567814,0.018957039,0.025665801,0.025454382
701.9734,0.015181198,0.019074695,0.017597198,0.021947847,0.019816614,0.027044745,0.026508107
702.4556,0.016163572,0.020057094,0.018664059,0.023219051,0.020521022,0.028029309,0.027651453
702.9376,0.017084884,0.021018921,0.019681193,0.024343248,0.02103516,0.028673605,0.028887097
703.4198,0.017960128,0.022039285,0.020650051,0.025334172,0.021387016,0.029115037,0.030205446
703.9019,0.018801925,0.023186416,0.021618324,0.026255338,0.021663895,0.029522848,0.031580124
704.384,0.019612794,0.024489515,0.022652498,0.027199455,0.021984558,0.03004458,0.032970749
704.8661,0.02038882,0.025928849,0.023811604,0.028262403,0.022463001,0.030770423,0.034337449
705.3483,0.021131326,0.027446451,0.02512924,0.029513134,0.023172789,0.031726103,0.035658823
705.8304,0.021864741,0.02897579,0.026615093,0.030979564,0.024132578,0.032895421,0.036947715
706.3125,0.022652684,0.030478076,0.028267913,0.032648435,0.025313623,0.03425458,0.038256008
706.7947,0.023606186,0.031969029,0.030094178,0.034484266,0.02666752,0.035803469,0.039666038
707.2768,0.024884167,0.033530682,0.032123115,0.036458828,0.028163563,0.037580776,0.041274707
707.7589,0.026681398,0.035303484,0.034414334,0.038584363,0.029819616,0.039660805,0.043177697
708.241,0.029207762,0.037464441,0.037053149,0.040936766,0.031716379,0.042137481,0.045462207
708.7231,0.032663167,0.040204059,0.040146514,0.043665062,0.033992338,0.045109912,0.048210268
709.2053,0.037215045,0.043709254,0.043817394,0.046982892,0.036822924,0.048676654,0.051513634
709.6874,0.042983723,0.048158822,0.048207483,0.051148604,0.040395972,0.052943273,0.055487193
710.1696,0.050044185,0.053732218,0.05348199,0.056436626,0.044892937,0.058036524,0.06027764
710.6516,0.058442131,0.060619173,0.059834963,0.063110867,0.05048051,0.064112831,0.066057068
711.1338,0.068220822,0.069022724,0.06748311,0.071399327,0.057306511,0.071350849,0.073001569
711.6159,0.079441328,0.079138465,0.076640698,0.081466729,0.065491364,0.079919151,0.081256378
712.098,0.092180095,0.09110586,0.087470432,0.093380156,0.07510336,0.089923618,0.09089226
712.5801,0.106484159,0.104928075,0.100010433,0.107062036,0.086110839,0.101342887,0.101858547
713.0623,0.122275578,0.120367257,0.114081066,0.122221573,0.098311668,0.113957191,0.113933083
713.5444,0.139214547,0.136837255,0.129192811,0.138282331,0.111259767,0.127294591,0.126680883
714.0265,0.156557647,0.153332413,0.144480989,0.154326884,0.124217485,0.140608076,0.139434315
714.5087,0.173067444,0.168444811,0.15871293,0.169104023,0.136172507,0.152911078,0.151315995
714.9908,0.187060183,0.180527266,0.170414049,0.181148308,0.145954129,0.163090879,0.161333266
715.4729,0.196654945,0.188012259,0.178131583,0.189032905,0.152453708,0.170098129,0.16854248
715.955,0.200218408,0.189815872,0.180782562,0.191705906,0.154893739,0.173177301,0.172258224
716.4371,0.196864562,0.185665071,0.177968879,0.188798343,0.153051968,0.17206153,0.17223737
716.9193,0.186778351,0.176189608,0.170112757,0.180756578,0.147338564,0.167060007,0.168768857
717.4014,0.171185471,0.162732584,0.158349464,0.168739675,0.138697517,0.159000441,0.162624989
717.8835,0.151993947,0.146987542,0.14423444,0.154333038,0.128378334,0.149053345,0.154901498
718.3657,0.13129435,0.13062132,0.129395147,0.139205626,0.117675497,0.138501147,0.146801222
718.8478,0.11093062,0.11500564,0.115242346,0.124824211,0.107712747,0.128523197,0.139432761
