Wavenumber,Absorbance (I),Background (I0),T,A
4.45E+02,1.94E-01,8.60E-01,2.26E-01,0.645785708
4.45E+02,1.97E-01,8.67E-01,2.28E-01,0.642984612
4.46E+02,2.01E-01,8.74E-01,2.30E-01,0.638245398
4.46E+02,2.05E-01,8.81E-01,2.33E-01,0.632606579
4.47E+02,2.09E-01,8.88E-01,2.36E-01,0.627086238
4.47E+02,2.13E-01,8.93E-01,2.39E-01,0.622324588
4.48E+02,2.16E-01,8.99E-01,2.41E-01,0.618452144
4.48E+02,2.19E-01,9.04E-01,2.43E-01,0.615205332
4.49E+02,2.22E-01,9.08E-01,2.44E-01,0.612200118
4.49E+02,2.24E-01,9.13E-01,2.46E-01,0.609194702
4.50E+02,2.27E-01,9.16E-01,2.48E-01,0.606219211
4.50E+02,2.29E-01,9.19E-01,2.49E-01,0.603504483
4.51E+02,2.31E-01,9.21E-01,2.50E-01,0.6012944
4.51E+02,2.32E-01,9.22E-01,2.51E-01,0.599675054
4.52E+02,2.33E-01,9.24E-01,2.52E-01,0.598534081
4.52E+02,2.34E-01,9.26E-01,2.53E-01,0.597680072
4.53E+02,2.35E-01,9.29E-01,2.53E-01,0.597055582
4.53E+02,2.36E-01,9.34E-01,2.53E-01,0.596878613
4.54E+02,2.37E-01,9.38E-01,2.53E-01,0.597619591
4.54E+02,2.37E-01,9.43E-01,2.51E-01,0.599781663
4.55E+02,2.36E-01,9.46E-01,2.49E-01,0.60362191
4.55E+02,2.33E-01,9.47E-01,2.46E-01,0.608938257
4.56E+02,2.30E-01,9.46E-01,2.43E-01,0.615042394
4.56E+02,2.26E-01,9.45E-01,2.39E-01,0.620950568
4.57E+02,2.23E-01,9.44E-01,2.37E-01,0.625746653
4.57E+02,2.22E-01,9.44E-01,2.35E-01,0.628946001
4.58E+02,2.21E-01,9.46E-01,2.34E-01,0.63065666
4.58E+02,2.22E-01,9.51E-01,2.34E-01,0.631398575
4.59E+02,2.24E-01,9.58E-01,2.34E-01,0.631699413
4.59E+02,2.26E-01,9.66E-01,2.33E-01,0.631719277
4.59E+02,2.28E-01,9.75E-01,2.34E-01,0.631130406
4.60E+02,2.31E-01,9.84E-01,2.35E-01,0.629319313
4.60E+02,2.35E-01,9.93E-01,2.37E-01,0.625784758
4.61E+02,2.40E-01,1.00E+00,2.40E-01,0.620476299
4.61E+02,2.45E-01,1.01E+00,2.43E-01,0.61388516
4.62E+02,2.50E-01,1.01E+00,2.47E-01,0.606821819
4.62E+02,2.55E-01,1.02E+00,2.51E-01,0.600035143
4.63E+02,2.60E-01,1.02E+00,2.55E-01,0.593884022
4.63E+02,2.65E-01,1.03E+00,2.58E-01,0.588262744
4.64E+02,2.70E-01,1.03E+00,2.61E-01,0.582724221
4.64E+02,2.75E-01,1.04E+00,2.65E-01,0.576893517
4.65E+02,2.80E-01,1.04E+00,2.69E-01,0.570781034
4.65E+02,2.85E-01,1.05E+00,2.72E-01,0.564907928
4.66E+02,2.90E-01,1.05E+00,2.75E-01,0.560147294
4.66E+02,2.92E-01,1.06E+00,2.77E-01,0.557397196
4.67E+02,2.93E-01,1.06E+00,2.77E-01,0.557233554
4.67E+02,2.93E-01,1.06E+00,2.76E-01,0.559699303
4.68E+02,2.91E-01,1.07E+00,2.73E-01,0.564297487
4.68E+02,2.89E-01,1.07E+00,2.69E-01,0.570203031
4.69E+02,2.86E-01,1.08E+00,2.65E-01,0.576574305
4.69E+02,2.84E-01,1.09E+00,2.61E-01,0.582841413
4.70E+02,2.82E-01,1.09E+00,2.58E-01,0.588788624
4.70E+02,2.79E-01,1.10E+00,2.54E-01,0.594440954
4.71E+02,2.76E-01,1.10E+00,2.51E-01,0.599819978
4.71E+02,2.73E-01,1.10E+00,2.48E-01,0.604754867
4.72E+02,2.70E-01,1.10E+00,2.46E-01,0.608844732
4.72E+02,2.69E-01,1.10E+00,2.45E-01,0.611611902
4.72E+02,2.70E-01,1.10E+00,2.44E-01,0.612743046
4.73E+02,2.72E-01,1.11E+00,2.44E-01,0.61225734
4.73E+02,2.75E-01,1.12E+00,2.45E-01,0.6104754
4.74E+02,2.79E-01,1.13E+00,2.47E-01,0.607826872
4.74E+02,2.84E-01,1.14E+00,2.49E-01,0.604624623
4.75E+02,2.89E-01,1.15E+00,2.51E-01,0.600969344
4.75E+02,2.95E-01,1.17E+00,2.53E-01,0.596830698
4.76E+02,3.01E-01,1.18E+00,2.56E-01,0.592237521
4.76E+02,3.06E-01,1.18E+00,2.59E-01,0.587445256
4.77E+02,3.12E-01,1.19E+00,2.61E-01,0.582964374
4.77E+02,3.16E-01,1.20E+00,2.63E-01,0.579414065
4.78E+02,3.20E-01,1.21E+00,2.65E-01,0.577293325
4.78E+02,3.23E-01,1.22E+00,2.65E-01,0.576773423
4.79E+02,3.24E-01,1.23E+00,2.64E-01,0.577633946
4.79E+02,3.25E-01,1.23E+00,2.63E-01,0.579359492
4.80E+02,3.25E-01,1.24E+00,2.62E-01,0.581370444
4.80E+02,3.26E-01,1.25E+00,2.61E-01,0.583260304
4.81E+02,3.27E-01,1.26E+00,2.60E-01,0.584926729
4.81E+02,3.27E-01,1.26E+00,2.59E-01,0.586512925
4.82E+02,3.27E-01,1.27E+00,2.58E-01,0.588220036
4.82E+02,3.26E-01,1.27E+00,2.57E-01,0.590090668
4.83E+02,3.26E-01,1.27E+00,2.56E-01,0.591906393
4.83E+02,3.26E-01,1.28E+00,2.55E-01,0.593254814
4.84E+02,3.26E-01,1.28E+00,2.55E-01,0.59374393
4.84E+02,3.28E-01,1.29E+00,2.55E-01,0.593240098
4.85E+02,3.31E-01,1.29E+00,2.56E-01,0.591981803
4.85E+02,3.34E-01,1.30E+00,2.57E-01,0.590478977
4.85E+02,3.37E-01,1.31E+00,2.57E-01,0.589271359
4.86E+02,3.40E-01,1.32E+00,2.58E-01,0.588667851
4.86E+02,3.43E-01,1.33E+00,2.58E-01,0.588613146
4.87E+02,3.45E-01,1.34E+00,2.58E-01,0.58874448
4.87E+02,3.48E-01,1.35E+00,2.58E-01,0.58859306
4.88E+02,3.51E-01,1.36E+00,2.58E-01,0.587824407
4.88E+02,3.55E-01,1.37E+00,2.59E-01,0.586387817
4.89E+02,3.59E-01,1.38E+00,2.60E-01,0.58450042
4.89E+02,3.63E-01,1.39E+00,2.62E-01,0.582492079
4.90E+02,3.66E-01,1.39E+00,2.63E-01,0.580618668
4.90E+02,3.69E-01,1.40E+00,2.64E-01,0.578958624
4.91E+02,3.72E-01,1.41E+00,2.65E-01,0.577438136
4.91E+02,3.76E-01,1.41E+00,2.65E-01,0.575973865
4.92E+02,3.79E-01,1.42E+00,2.66E-01,0.574617109
