Wavenumber,Absorbance (I),Background (I0),T,A
4.00E+02,5.33E-02,2.55E-01,2.09E-01,0.679214719
4.01E+02,5.48E-02,2.65E-01,2.07E-01,0.684743965
4.01E+02,5.57E-02,2.75E-01,2.02E-01,0.693720373
4.02E+02,5.59E-02,2.84E-01,1.97E-01,0.705405671
4.02E+02,5.58E-02,2.91E-01,1.92E-01,0.717513388
4.03E+02,5.59E-02,2.98E-01,1.87E-01,0.727256425
4.03E+02,5.64E-02,3.05E-01,1.85E-01,0.732658663
4.04E+02,5.74E-02,3.11E-01,1.85E-01,0.73353377
4.04E+02,5.87E-02,3.16E-01,1.86E-01,0.731353084
4.05E+02,6.02E-02,3.22E-01,1.87E-01,0.728137398
4.05E+02,6.15E-02,3.27E-01,1.88E-01,0.725181314
4.05E+02,6.29E-02,3.32E-01,1.89E-01,0.722445028
4.06E+02,6.45E-02,3.38E-01,1.91E-01,0.718858887
4.06E+02,6.66E-02,3.44E-01,1.94E-01,0.713316227
4.07E+02,6.92E-02,3.52E-01,1.97E-01,0.705733179
4.07E+02,7.21E-02,3.59E-01,2.01E-01,0.697393859
4.08E+02,7.48E-02,3.67E-01,2.04E-01,0.690379771
4.08E+02,7.69E-02,3.74E-01,2.06E-01,0.686536009
4.09E+02,7.82E-02,3.80E-01,2.06E-01,0.686592907
4.09E+02,7.87E-02,3.85E-01,2.04E-01,0.689781941
4.10E+02,7.90E-02,3.90E-01,2.02E-01,0.694020089
4.10E+02,7.96E-02,3.96E-01,2.01E-01,0.696683117
4.11E+02,8.10E-02,4.02E-01,2.01E-01,0.69574481
4.11E+02,8.33E-02,4.09E-01,2.04E-01,0.690687847
4.12E+02,8.63E-02,4.16E-01,2.08E-01,0.682530062
4.12E+02,8.97E-02,4.23E-01,2.12E-01,0.673050198
4.13E+02,9.30E-02,4.29E-01,2.17E-01,0.663805149
4.13E+02,9.62E-02,4.35E-01,2.21E-01,0.655563111
4.14E+02,9.91E-02,4.41E-01,2.25E-01,0.648334992
4.14E+02,1.02E-01,4.47E-01,2.28E-01,0.641801405
4.15E+02,1.05E-01,4.52E-01,2.31E-01,0.635851461
4.15E+02,1.07E-01,4.57E-01,2.34E-01,0.630883219
4.16E+02,1.08E-01,4.60E-01,2.36E-01,0.627733264
4.16E+02,1.09E-01,4.61E-01,2.36E-01,0.627341185
4.17E+02,1.08E-01,4.61E-01,2.34E-01,0.630343738
4.17E+02,1.06E-01,4.59E-01,2.31E-01,0.636783979
4.18E+02,1.03E-01,4.58E-01,2.26E-01,0.646000564
4.18E+02,1.01E-01,4.58E-01,2.20E-01,0.656771562
4.18E+02,9.90E-02,4.61E-01,2.15E-01,0.667672975
4.19E+02,9.83E-02,4.68E-01,2.10E-01,0.677532473
4.19E+02,9.86E-02,4.78E-01,2.06E-01,0.685678291
4.20E+02,9.98E-02,4.91E-01,2.03E-01,0.691828647
4.20E+02,1.02E-01,5.05E-01,2.01E-01,0.69577727
4.21E+02,1.04E-01,5.20E-01,2.01E-01,0.697193659
4.21E+02,1.07E-01,5.33E-01,2.01E-01,0.695737253
4.22E+02,1.11E-01,5.44E-01,2.04E-01,0.691390908
4.22E+02,1.14E-01,5.53E-01,2.07E-01,0.684749489
4.23E+02,1.18E-01,5.61E-01,2.10E-01,0.677016444
4.23E+02,1.21E-01,5.67E-01,2.14E-01,0.669647277
4.24E+02,1.24E-01,5.73E-01,2.17E-01,0.663837394
4.24E+02,1.27E-01,5.80E-01,2.19E-01,0.660104009
4.25E+02,1.29E-01,5.86E-01,2.20E-01,0.658155219
4.25E+02,1.31E-01,5.94E-01,2.20E-01,0.657122012
4.26E+02,1.33E-01,6.03E-01,2.21E-01,0.656043104
4.26E+02,1.36E-01,6.13E-01,2.22E-01,0.654365311
4.27E+02,1.39E-01,6.23E-01,2.23E-01,0.652182906
4.27E+02,1.42E-01,6.34E-01,2.24E-01,0.650094644
4.28E+02,1.44E-01,6.43E-01,2.24E-01,0.648809865
