X	Y
400	1.12933540344238
400.482121333869	1.12933540344238
400.964242667738	1.10954105854034
401.446364001607	1.05635833740234
401.928485335476	0.994052171707153
402.410606669345	0.932426273822784
402.892728003214	0.877743244171143
403.374849337083	0.834133923053741
403.856970670952	0.80368959903717
404.339092004821	0.785549700260162
404.82121333869	0.775802135467529
405.303334672559	0.769289195537567
405.785456006428	0.76221376657486
406.267577340297	0.753822684288025
406.749698674166	0.746471285820007
407.231820008035	0.744144797325134
407.713941341904	0.749683141708374
408.196062675773	0.761809408664703
408.678184009642	0.774241805076599
409.160305343511	0.778215408325195
409.64242667738	0.766741633415222
410.124548011249	0.737753033638
410.606669345119	0.694755375385284
411.088790678988	0.645178914070129
411.570912012857	0.597103714942932
412.053033346726	0.555583894252777
412.535154680595	0.520947217941284
413.017276014464	0.490280091762543
413.499397348333	0.460402369499207
413.981518682202	0.429829984903336
414.463640016071	0.398980885744095
414.94576134994	0.369125783443451
415.427882683809	0.340750724077225
415.910004017678	0.312127411365509
416.392125351547	0.278858065605164
416.874246685416	0.234739780426025
417.356368019285	0.1734509319067
417.838489353154	0.0902362614870071
418.320610687023	-0.0173151772469282
418.802732020892	-0.150637403130531
419.284853354761	-0.317036300897598
419.76697468863	-0.550181806087494
420.249096022499	-1.09889316558838
420.731217356368	6
421.213338690237	6
421.695460024106	6
422.177581357975	6
422.659702691844	6
423.141824025713	6
423.623945359582	6
424.106066693451	6
424.58818802732	6
425.070309361189	6
425.552430695058	6
426.034552028927	6
426.516673362796	6
426.998794696665	6
427.480916030534	6
427.963037364403	6
428.445158698272	6
428.927280032141	6
429.40940136601	6
429.891522699879	6
430.373644033749	6
430.855765367617	6
431.337886701487	6
431.820008035356	6
432.302129369225	6
432.784250703094	6
433.266372036963	6
433.748493370832	6
434.230614704701	6
434.71273603857	6
435.194857372439	6
435.676978706308	6
436.159100040177	6
436.641221374046	6
437.123342707915	6
437.605464041784	6
438.087585375653	6
438.569706709522	6
439.051828043391	6
439.53394937726	6
440.016070711129	6
440.498192044998	6
440.980313378867	6
441.462434712736	6
441.944556046605	6
442.426677380474	6
442.908798714343	6
443.390920048212	6
443.873041382081	6
444.35516271595	6
444.837284049819	6
445.319405383688	6
445.801526717557	6
446.283648051426	6
446.765769385295	6
447.247890719164	6
447.730012053033	6
448.212133386902	6
448.694254720771	6
449.17637605464	6
449.658497388509	6
450.140618722378	6
450.622740056247	6
451.104861390117	6
451.586982723986	6
452.069104057855	6
452.551225391724	6
453.033346725593	6
453.515468059462	6
453.997589393331	6
454.4797107272	6
454.961832061069	6
455.443953394938	6
455.926074728807	6
456.408196062676	6
456.890317396545	6
457.372438730414	6
457.854560064283	6
458.336681398152	6
458.818802732021	6
459.30092406589	6
459.783045399759	6
460.265166733628	6
460.747288067497	6
461.229409401366	6
461.711530735235	6
462.193652069104	6
462.675773402973	6
463.157894736842	6
463.640016070711	6
464.12213740458	6
464.604258738449	6
465.086380072318	6
465.568501406187	6
466.050622740056	6
466.532744073925	6
467.014865407794	6
467.496986741663	6
467.979108075532	6
468.461229409401	6
468.94335074327	6
469.425472077139	6
469.907593411008	6
470.389714744877	6
470.871836078746	6
471.353957412616	6
471.836078746485	6
472.318200080354	6
472.800321414223	6
473.282442748092	6
473.764564081961	6
474.24668541583	6
474.728806749699	6
475.210928083568	6
475.693049417437	6
476.175170751306	6
476.657292085175	6
477.139413419044	6
477.621534752913	6
478.103656086782	6
478.585777420651	6
479.06789875452	6
479.550020088389	6
480.032141422258	6
480.514262756127	6
480.996384089996	6
481.478505423865	6
481.960626757734	6
482.442748091603	6
482.924869425472	6
483.406990759341	6
483.88911209321	6
484.371233427079	6
484.853354760948	6
485.335476094817	6
485.817597428686	6
486.299718762555	6
486.781840096424	6
487.263961430293	6
487.746082764162	6
488.228204098031	6
488.7103254319	6
489.192446765769	6
489.674568099638	6
490.156689433507	6
490.638810767376	6
491.120932101246	6
491.603053435114	6
492.085174768984	6
492.567296102853	6
493.049417436722	6
493.531538770591	6
494.01366010446	6
494.495781438329	6
494.977902772198	6
495.460024106067	6
495.942145439936	6
496.424266773805	6
496.906388107674	6
497.388509441543	6
497.870630775412	6
498.352752109281	6
498.83487344315	6
499.316994777019	6
499.799116110888	6
500.281237444757	6
500.763358778626	6
501.245480112495	6
501.727601446364	6
502.209722780233	6
502.691844114102	6
503.173965447971	6
503.65608678184	6
504.138208115709	6
504.620329449578	6
505.102450783447	6
505.584572117316	6
506.066693451185	6
506.548814785054	6
507.030936118923	6
507.513057452792	6
507.995178786661	6
508.47730012053	6
508.959421454399	6
509.441542788268	6
509.923664122137	6
510.405785456006	6
510.887906789875	6
511.370028123744	6
511.852149457614	6
512.334270791482	6
512.816392125352	6
513.298513459221	6
513.78063479309	6
514.262756126959	6
514.744877460828	6
515.226998794697	6
515.709120128566	6
516.191241462435	6
516.673362796304	6
517.155484130173	6
517.637605464042	6
518.119726797911	6
518.60184813178	6
519.083969465649	6
519.566090799518	6
520.048212133387	6
520.530333467256	6
521.012454801125	6
521.494576134994	6
521.976697468863	6
522.458818802732	6
522.940940136601	6
523.42306147047	6
523.905182804339	6
524.387304138208	6
524.869425472077	6
525.351546805946	6
525.833668139815	6
526.315789473684	6
526.797910807553	6
527.280032141422	6
527.762153475291	6
528.24427480916	6
528.726396143029	6
529.208517476898	6
529.690638810767	6
530.172760144636	6
530.654881478505	6
531.137002812374	6
531.619124146244	6
532.101245480113	6
532.583366813981	6
533.065488147851	6
533.54760948172	6
534.029730815589	6
534.511852149458	6
534.993973483327	6
